scenario,brent_change,wti_change,brent_pnl,wti_pnl,hedged_pnl
Brent -10%,-0.1,0,-882400,-0,-882400
Brent -20%,-0.2,0,-1764800,-0,-1764800
WTI -10%,0,-0.1,0,241583.94609720507,241583.94609720507
Brent -20% / WTI -15%,-0.2,-0.15,-1764800,362375.91914580757,-1402424.0808541924
